		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2047.984375	M = 1048576	N = 8	m = 9	n = 8388608
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001 2018 2031 2126 2067 2090 2037 1989 2073  6.882056 0.549410 SUCCESS   0
000000011 2049 2006 2028 2027 2042 2032 2062 2056  1.593656 0.991041 SUCCESS   1
000000101 2052 2028 2045 2172 2099 2036 2028 2015 10.120124 0.256696 SUCCESS   2
000000111 2006 2009 1989 1988 2067 2116 2041 2076  8.172286 0.416824 SUCCESS   3
000001001 1999 2096 2037 1947 2056 2072 2053 2078  8.379073 0.397344 SUCCESS   4
000001011 2031 2018 2053 2112 2076 2042 1957 2016  7.794209 0.453826 SUCCESS   5
000001101 2025 2100 1987 2051 2001 2054 2150 1990 11.603631 0.169784 SUCCESS   6
000001111 1933 2013 2001 2023 2029 2105 1980 2080 13.401579 0.098759 SUCCESS   7
000010001 2033 2078 2099 2032 2030 2028 2036 2104  4.034218 0.854023 SUCCESS   8
000010011 2073 2041 1977 2035 2081 2077 2050 2046  3.950443 0.861567 SUCCESS   9
000010101 1981 2043 2059 2141 2107 1991 2057 2132 13.714632 0.089513 SUCCESS  10
000010111 2085 2030 2070 2083 2085 2049 1975 2031  5.247855 0.730786 SUCCESS  11
000011001 2146 2034 2128 2098 2114 2027 2056 2056 11.936159 0.154075 SUCCESS  12
000011011 2009 1973 2026 2029 2003 2099 2048 2051  6.374464 0.605363 SUCCESS  13
000011101 2073 2049 2146 2028 2129 2030 2104 2089 11.282956 0.186176 SUCCESS  14
000011111 1994 2054 2004 2112 2070 2025 2031 2069  5.417283 0.712186 SUCCESS  15
000100011 2033 2046 2024 2053 2006 1997 1930 2069  9.875222 0.273893 SUCCESS  16
000100101 1968 2080 2071 2035 2159 1950 2059 2067 15.418767 0.051496 SUCCESS  17
000100111 2079 2025 2024 2055 2019 2055 1997 2006  3.720266 0.881439 SUCCESS  18
000101001 2026 2120 1964 2110 2044 2095 2143 2034 14.150885 0.077916 SUCCESS  19
